Tableau des coûts de travaux,,,,,,,,VRD,,,,Gros Œuvre,,,,Chaufferie biomasse,,,,Chauffage des bâtiments,,
Désignation,Unité,Prix unitaire,,Désignation,Unité,Prix unitaire,,Désignation,Unité,Prix unitaire,,Désignation,Unité,Prix unitaire,,Désignation,Unité,Prix unitaire,,Désignation,Unité,Prix unitaire
Isolation de plancher,m2, 80.00 € ,,GTC,Ens," 5,000.00 € ",,Aménagement extérieur (gravillons),m2, 16.00 € ,,Fondations,ml, 65.00 € ,,Réseau Gaz,Ens, 800.00 € ,,Radiateur,U, 350.00 € 
Isolation de rampant,m2, 120.00 € ,,compteurs energie,U," 1,300.00 € ",,Enrobé,m2,,,Parpaings,m2, 140.00 € ,,Chaudière Gaz - 50 KW,U," 9,000.00 € ",,Réseau de chauffage,Ens," 3,500.00 € "
Isolation des combles perdus,m2, 80.00 € ,,ballon tampon 750l,U," 2,500.00 € ",,Création branchement,U," 1,800.00 € ",,Dallage,m2, 95.00 € ,,Chaudière Gaz - 80 KW,U," 11,200.00 € ",,Ballon échangeur,U," 1,800.00 € "
Isolation des murs par l'extérieur,m2, 315.00 € ,,desemboueur,U," 2,000.00 € ",,Tranchées,ml, 95.00 € ,,Enduit,m2, 50.00 € ,,Chaudière Gaz - 100 KW,U," 13,000.00 € ",,Groupe mélange + régul,U," 2,000.00 € "
Isolation des murs par l'intérieur,m2, 80.00 € ,,vase exp,U, 400.00 € ,,Réseau AEP,ml, 25.00 € ,,Seuils,ml, 55.00 € ,,Chaudière Gaz - 150 KW,U," 19,000.00 € ",,Placard d'habillage,U," 1,500.00 € "
Remplacement des menuiseries,m2, 800.00 € ,,tube acier dn50,ml, 57.00 € ,,Bordure,ml, 40.00 € ,,OSB silo,Ens, 800.00 € ,,Chaudière Gaz - 200 KW,U," 22,000.00 € ",,,,
,,,,calorifugeage,ml, 15.00 € ,,Empierrement + Gravillons,m2, 50.00 € ,,Porte CF Chaufferie,U," 4,800.00 € ",,Chaudière Gaz - 300 KW,U," 35,000.00 € ",,,,
,,,,pompe double,U," 3,000.00 € ",,Neutralisation cuve,U, 900.00 € ,,Porte CF Silo,U," 3,000.00 € ",,Chaudière Gaz - 500 KW,U," 40,000.00 € ",,,,
,,,,bouteille de mélange,U, 500.00 € ,,Clôture,ml, 60.00 € ,,Plafond CF,m2, 240.00 € ,,Chaudière Bois - 50 KW,U," 25,000.00 € ",,,,
,,,, ens d'equipements,Ens," 1,000.00 € ",,Portail,U," 2,000.00 € ",,Charpente,m2, 110.00 € ,,Chaudière Bois - 80 KW,U," 30,500.00 € ",,,,
,,,,sol béton,m2, 50.00 € ,,Béton balayé,m2, 50.00 € ,,Couverture,m2, 84.00 € ,,Chaudière Bois - 100 KW,U," 36,400.00 € ",,,,
,,,,mur parpaing,m2, 150.00 € ,,Décapage terre végétale,m3, 70.00 € ,,Bac Acier façade,m2, 140.00 € ,,Chaudière Bois - 150 KW,U," 52,650.00 € ",,,,
,,,,enduit ext silo,m2, 60.00 € ,,Dépose cuve,U," 2,000.00 € ",,Installation chantier,Ens," 3,000.00 € ",,Chaudière Bois - 200 KW,U," 63,000.00 € ",,,,
,,,,pente desisleur,m2, 500.00 € ,,,,,,Membrane couverture,m2, 140.00 € ,,Chaudière Bois - 300 KW,U," 75,000.00 € ",,,,
,,,,toiture,m2, 100.00 € ,,,,,,,,,,VB-VH,Ens, 700.00 € ,,,,
,,,,barge bois inté,m2, 50.00 € ,,,,,,,,,,Vase Exp,U, 700.00 € ,,,,
,,,,,,,,,,,,,,,,Fumisterie,Ens," 4,000.00 € ",,,,
,,,,,,,,,,,,,,,,Collecteur,Ens," 6,000.00 € ",,,,
,,,,,,,,,,,,,,,,Calorifuge,Ens," 3,000.00 € ",,,,
,,,,,,,,,,,,,,,,Ballon tampon,Ens," 3,000.00 € ",,,,
,,,,,,,,,,,,,,,,Pot à boue,U," 2,000.00 € ",,,,
,,,,,,,,,,,,,,,,Remplissage eau,Ens," 2,000.00 € ",,,,
,,,,,,,,,,,,,,,,Pompe double,U," 4,000.00 € ",,,,
,,,,,,,,,,,,,,,,Trémie de transfert,U," 18,000.00 € ",,,,
,,,,,,,,,,,,,,,,GTC,Ens," 9,000.00 € ",,,,
,,,,,,,,,,,,,,,,Réseau de chaleur,ml, 80.00 € ,,,,
,,,,,,,,,,,,,,,,Tranchées+réseau chaleur,ml, 174.00 € ,,,,
,,,,,,,,,,,,,,,,Sous station,U," 3,000.00 € ",,,,
,,,,,,,,,,,,,,,,Elec chaufferie,Ens," 7,000.00 € ",,,,
,,,,,,,,,,,,,,,,Compteur énergie,U, 900.00 € ,,,,
