Poste,Unité,Etat actuel,Situation de référence,Ecart,,,,,,,
Déperditions,W,#REF!,#REF!,#REF!,,,,,,,
Besoins énergétiques,KWh,#REF!,#REF!,#REF!,,,,,,,
Consommation totale d’énergie Energie finale,KWh,#REF!,#REF!,#REF!,,,,,,,
Consommation totale d’énergie Energie primaire,Kwhep,#REF!,#REF!,#REF!,,,,,,,
,,* les données de production et consommations MWh sont annuelles,Situation actuelle,"Situation future
(actuel + projet FC)",,,,,,,
PRODUCTION,Combustible Biomasse,Production Biomasse MWh,0,297,,,,,,,
,,Consommation MWh entrée chaudière,0,323,,,,,,,
,,Rendement chaudière biomasse,0,92%,,,,,,,
,,Puissance biomasse MW,0.0,0.15,,,,,,,
,,Nombre de chaudière biomasse,,1.0,,,,,,,
,,mixité MWh/an %,#REF!,#REF!,,,,,,,
,Combustible Appoint,Production GN MWh,309.85,2.4,,,,,,,
,,Consommation MWh entrée chaudière,348,2.5,,,,,,,
,,Rendement chaudière GN,89%,98%,,,,,,,
,,Puissance GN  MW,0.2,0.2,,,,,,,
,,mixité MWh/an %,#REF!,#REF!,,,,,,,
,Total,"Total production MWh
(si réseau de chaleur = chaleur injectée dans le RC)",310,299,,,,,,,
,,"Total production EnR&R MWh
(si réseau de chaleur = chaleur EnR&R injectée dans le RC)",,297,,,,,,,
,,Puissance totale MW,,0.3,,,,,,,
,,"Taux EnR&R 
(si réseau de chaleur = Taux EnR&R injecté dans le RC ≥ 65%)",0.0%,99.2%,,,,,,,
,,"CO2 évité (tonnes) :
réf. Combustion (base carbone ADEME) 
GN : 0,187tCO2/MWh PCI
fioul : 0,266tCO2/MWh PCI
charbon : 0,345tCO2/MWh PCI",#REF!,#REF!,,,,,,,
,Commentaires - détails complémentaires :,,,Production biomasse = 2 chaudières de 1MW et 2MW,,,,,,,
