Tableau des DJU sur la période 1996-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nom département,Code département,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Moyenne,Base 16,Text Base
AIN,1,"2,342","2,152","2,350","2,228","2,007","2,133","1,965","2,270","2,324","2,401","2,187","2,113","2,128","2,181","2,459","1,906","2,205","2,400","1,760","1,998","2,177","2,139","1,924","2,092","1,938","2,359","1,864",2148,1927,-10.00
AISNE,2,"2,741","2,365","2,394","2,266","2,171","2,276","2,140","2,381","2,405","2,318","2,342","2,064","2,263","2,345","2,739","1,970","2,298","2,549","1,923","2,106","2,355","2,194","2,144","2,156","1,947","2,368","1,977",2267,2061,-7.00
ALLIER,3,"2,368","2,098","2,304","2,151","1,966","2,161","1,929","2,269","2,313","2,336","2,161","2,092","2,159","2,215","2,500","1,870","2,234","2,386","1,794","2,017","2,233","2,096","1,886","2,000","1,790","2,247","1,880",2128,1900,-8.00
ALPES-DE-HAUTE-PROVENCE,4,"2,014","1,737","2,030","1,977","1,844","1,798","1,712","1,990","1,987","2,107","1,839","1,712","1,852","1,837","2,215","1,640","1,866","1,956","1,586","1,682","1,777","1,736","1,667","1,728","1,696","1,902","1,613",1833,1569,-8.00
HAUTES-ALPES,5,"2,537","2,224","2,497","2,594","2,411","2,338","2,259","2,387","2,472","2,660","2,280","2,179","2,426","2,432","2,802","2,035","2,362","2,507","2,125","2,149","2,342","2,275","2,180","2,246","2,080","2,434","2,026",2343,2099,-10.00
ALPES-MARITIMES,6,"1,127",984,"1,115","1,104","1,038","1,025",962,"1,106","1,091","1,230",955,860,"1,084","1,050","1,281",933,"1,064","1,147",836,916,910,968,957,947,875,"1,010",897,1017,798,-2.00
ARDECHE,7,"1,915","1,636","1,913","1,827","1,708","1,756","1,595","1,859","1,900","1,987","1,778","1,608","1,804","1,762","2,098","1,521","1,760","1,954","1,463","1,550","1,739","1,642","1,632","1,622","1,565","1,814","1,524",1738,1521,-7.00
ARDENNES,8,"2,943","2,618","2,705","2,497","2,306","2,434","2,328","2,634","2,680","2,566","2,498","2,267","2,512","2,559","2,868","2,204","2,480","2,694","2,140","2,343","2,530","2,336","2,303","2,350","2,155","2,602","2,197",2472,2307,-10.00
ARIEGE,9,"1,978","1,617","1,928","1,992","1,792","1,932","1,715","1,863","2,021","2,112","1,771","1,875","1,895","1,887","2,170","1,638","2,011","2,044","1,625","1,736","1,766","1,854","1,761","1,788","1,598","1,843","1,554",1843,1611,-5.00
AUBE,10,"2,559","2,307","2,383","2,210","2,036","2,183","2,013","2,310","2,382","2,318","2,230","2,068","2,248","2,299","2,645","1,962","2,270","2,434","1,901","2,087","2,329","2,197","2,015","2,086","1,835","2,282","1,933",2204,1982,-10.00
AUDE,11,"1,571","1,297","1,609","1,581","1,417","1,551","1,340","1,572","1,683","1,801","1,468","1,486","1,520","1,562","1,867","1,326","1,615","1,772","1,284","1,349","1,409","1,480","1,411","1,440","1,268","1,474","1,272",1497,1264,-5.00
AVEYRON,12,"2,446","1,978","2,294","2,398","2,272","2,304","2,124","2,364","2,395","2,536","2,187","2,191","2,329","2,286","2,642","1,940","2,352","2,534","2,013","2,076","2,226","2,198","2,159","2,209","1,969","2,276","1,892",2244,2023,-8.00
BOUCHES-DU-RHONE,13,"1,268","1,144","1,456","1,383","1,161","1,274","1,090","1,356","1,426","1,540","1,191","1,225","1,262","1,300","1,560","1,131","1,393","1,479",965,"1,173","1,160","1,263","1,136","1,214","1,116","1,311","1,080",1261,905,-5.00
CALVADOS,14,"2,342","2,028","2,000","1,876","1,924","1,984","1,765","2,068","2,071","2,046","2,063","1,918","2,017","2,111","2,450","1,757","2,095","2,247","1,767","1,829","2,139","1,905","1,940","1,966","1,792","2,097","1,797",2000,1825,-7.00
CANTAL,15,"2,491","2,103","2,417","2,482","2,305","2,388","2,183","2,397","2,545","2,617","2,292","2,298","2,420","2,420","2,738","2,044","2,501","2,661","2,109","2,228","2,369","2,365","2,176","2,334","2,045","2,444","2,025",2348,2185,-8.00
CHARENTE,16,"1,767","1,519","1,774","1,617","1,555","1,691","1,416","1,647","1,796","1,787","1,675","1,531","1,676","1,671","1,983","1,320","1,742","1,848","1,372","1,522","1,645","1,594","1,525","1,472","1,303","1,674","1,370",1611,1373,-5.00
CHARENTE-MARITIME,17,"1,785","1,554","1,760","1,608","1,548","1,674","1,417","1,645","1,783","1,780","1,673","1,540","1,751","1,685","1,995","1,337","1,736","1,808","1,328","1,409","1,469","1,579","1,431","1,452","1,264","1,637","1,350",1593,1336,-5.00
CHER,18,"2,317","2,019","2,231","2,030","1,900","2,057","1,801","2,106","2,162","2,175","2,068","1,883","2,067","2,061","2,383","1,681","2,028","2,246","1,670","1,915","2,205","2,009","1,846","1,823","1,624","2,097","1,708",2004,1756,-7.00
CORREZE,19,"1,945","1,677","1,967","1,890","1,746","1,836","1,639","1,891","2,022","2,062","1,822","1,755","1,863","1,856","2,150","1,567","1,947","2,060","1,524","1,731","1,817","1,817","1,596","1,642","1,428","1,792","1,490",1798,1545,-8.00
CORSE-DU-SUD,2A,"1,172","1,087","1,275","1,248","1,068","1,041","1,061","1,179","1,142","1,361","1,052","1,049","1,075","1,107","1,206","1,006","1,146","1,122",911,"1,001",891,"1,067",876,"1,050",935,"1,065",936,1079,964,-2.00
HAUTE-CORSE,2B,"1,090",977,"1,096","1,083",962,"1,005",945,"1,110","1,118","1,353","1,087","1,014","1,083","1,096","1,259","1,053","1,133","1,125",834,970,901,"1,026",955,"1,016",946,"1,050",971,1046,869,-2.00
