,Jour ,Heure  ,Extérieur,Cumul puissance,,Déperditions,30000,W,,SI(D5<$H$4;$H$8*($H$4-D5);0)
,,,T (°C),Chauffage (W),,Température intérieur de base,19,°C,,
janvier,1,1,-4,26538.46154,,,,,,
,1,2,-4.1,26653.84615,,Température extérieure de base,-7,°C,,
,1,3,-4.3,26884.61538,,,,,,
,1,4,-4.5,27115.38462,,Déperditions par °C,1153.846154,W/°C,,
,1,5,-4.6,27230.76923,,Ville,Bourges,,,
,1,6,-4.7,27346.15385,,,,,,
,1,7,-4.7,27346.15385,,,,,,
,1,8,-4.8,27461.53846,,,,,,
,1,9,-4.8,27461.53846,,,,,,
,1,10,-4,26538.46154,,,,,,
,1,11,-4,26538.46154,,,,,,
,1,12,-3.4,25846.15385,,,,,,
,1,13,-2.2,24461.53846,,,,,,
,1,14,-1.5,23653.84615,,,,,,
,1,15,-0.1,22038.46154,,,,,,
,1,16,-0.2,22153.84615,,,,,,
,1,17,-0.8,22846.15385,,,,,,
,1,18,-1.5,23653.84615,,,,,,
,1,19,-1.6,23769.23077,,,,,,
,1,20,-1.7,23884.61538,,,,,,
,1,21,-1.8,24000,,,,,,
,1,22,-1.9,24115.38462,,,,,,
,1,23,-1.9,24115.38462,,,,,,
,1,24,-2,24230.76923,,,,,,
,2,1,-2.2,24461.53846,,,,,,
,2,2,-2.2,24461.53846,,,,,,
,2,3,-2.3,24576.92308,,,,,,
,2,4,-2.4,24692.30769,,,,,,
,2,5,-2.4,24692.30769,,,,,,
,2,6,-2.4,24692.30769,,,,,,
,2,7,-2.4,24692.30769,,,,,,
,2,8,-2.4,24692.30769,,,,,,
,2,9,-2.4,24692.30769,,,,,,
,2,10,-1.4,23538.46154,,,,,,
,2,11,-0.2,22153.84615,,,,,,
,2,12,1,20769.23077,,,,,,
,2,13,1.9,19730.76923,,,,,,
,2,14,2.5,19038.46154,,,,,,
,2,15,2.4,19153.84615,,,,,,
,2,16,1.8,19846.15385,,,,,,
,2,17,1.1,20653.84615,,,,,,
,2,18,0.5,21346.15385,,,,,,
,2,19,0.3,21576.92308,,,,,,
,2,20,0.2,21692.30769,,,,,,
,2,21,0,21923.07692,,,,,,
,2,22,-0.2,22153.84615,,,,,,
,2,23,-0.3,22269.23077,,,,,,
,2,24,-0.6,22615.38462,,,,,,
,3,1,-0.8,22846.15385,,,,,,
,3,2,-1.1,23192.30769,,,,,,
,3,3,-1.5,23653.84615,,,,,,
,3,4,-1.8,24000,,,,,,
,3,5,-1.9,24115.38462,,,,,,
,3,6,-2,24230.76923,,,,,,
,3,7,-2.1,24346.15385,,,,,,
,3,8,-2.2,24461.53846,,,,,,
,3,9,-2.3,24576.92308,,,,,,
,3,10,-2.3,24576.92308,,,,,,
,3,11,-2.3,24576.92308,,,,,,
,3,12,-2.3,24576.92308,,,,,,
,3,13,-2.3,24576.92308,,,,,,
,3,14,-2.4,24692.30769,,,,,,
,3,15,-2.4,24692.30769,,,,,,
,3,16,-2.4,24692.30769,,,,,,
,3,17,-2.5,24807.69231,,,,,,
,3,18,-2.6,24923.07692,,,,,,
,3,19,-2.7,25038.46154,,,,,,
,3,20,-2.9,25269.23077,,,,,,
,3,21,-3.2,25615.38462,,,,,,
,3,22,-3.5,25961.53846,,,,,,
,3,23,-3.6,26076.92308,,,,,,
,3,24,-4.2,26769.23077,,,,,,
,4,1,-3.9,26423.07692,,,,,,
,4,2,-4,26538.46154,,,,,,
,4,3,-4.2,26769.23077,,,,,,
,4,4,-4.6,27230.76923,,,,,,
,4,5,-4.2,26769.23077,,,,,,
,4,6,-4.3,26884.61538,,,,,,
,4,7,-4.3,26884.61538,,,,,,
,4,8,-4.4,27000,,,,,,
,4,9,-4.4,27000,,,,,,
,4,10,-4.3,26884.61538,,,,,,
,4,11,-4.2,26769.23077,,,,,,
,4,12,-4,26538.46154,,,,,,
,4,13,-4,26538.46154,,,,,,
,4,14,-3.9,26423.07692,,,,,,
,4,15,-3.9,26423.07692,,,,,,
,4,16,-4,26538.46154,,,,,,
,4,17,-4,26538.46154,,,,,,
,4,18,-4.2,26769.23077,,,,,,
,4,19,-4.1,26653.84615,,,,,,
,4,20,-4.1,26653.84615,,,,,,
,4,21,-4,26538.46154,,,,,,
,4,22,-4,26538.46154,,,,,,
,4,23,-3.9,26423.07692,,,,,,
,4,24,-3.9,26423.07692,,,,,,
,5,1,-3.8,26307.69231,,,,,,
,5,2,-3.7,26192.30769,,,,,,
,5,3,-3.6,26076.92308,,,,,,
,5,4,-3.5,25961.53846,,,,,,
,5,5,-3.4,25846.15385,,,,,,
,5,6,-3.3,25730.76923,,,,,,
,5,7,-3.2,25615.38462,,,,,,
,5,8,-3.1,25500,,,,,,
,5,9,-3,25384.61538,,,,,,
,5,10,-1,23076.92308,,,,,,
,5,11,1.5,20192.30769,,,,,,
,5,12,4,17307.69231,,,,,,
,5,13,5.8,15230.76923,,,,,,
,5,14,7.1,13730.76923,,,,,,
,5,15,7.7,13038.46154,,,,,,
,5,16,7.4,13384.61538,,,,,,
,5,17,6.1,14884.61538,,,,,,
,5,18,4.6,16615.38462,,,,,,
,5,19,4.5,16730.76923,,,,,,
,5,20,4.5,16730.76923,,,,,,
,5,21,4.4,16846.15385,,,,,,
,5,22,4.3,16961.53846,,,,,,
,5,23,4.3,16961.53846,,,,,,
,5,24,4.2,17076.92308,,,,,,
,6,1,3.9,17423.07692,,,,,,
,6,2,3.6,17769.23077,,,,,,
,6,3,3.3,18115.38462,,,,,,
,6,4,3.1,18346.15385,,,,,,
,6,5,3,18461.53846,,,,,,
,6,6,2.9,18576.92308,,,,,,
,6,7,2.8,18692.30769,,,,,,
,6,8,2.7,18807.69231,,,,,,
,6,9,2.8,18692.30769,,,,,,
,6,10,4.5,16730.76923,,,,,,
,6,11,6.5,14423.07692,,,,,,
,6,12,8.6,12000,,,,,,
,6,13,10.2,10153.84615,,,,,,
,6,14,11.4,8769.230769,,,,,,
,6,15,12.1,7961.538462,,,,,,
,6,16,12.1,7961.538462,,,,,,
,6,17,11,9230.769231,,,,,,
,6,18,9.6,10846.15385,,,,,,
,6,19,8.9,11653.84615,,,,,,
,6,20,8.3,12346.15385,,,,,,
,6,21,7.6,13153.84615,,,,,,
,6,22,6.9,13961.53846,,,,,,
,6,23,6.3,14653.84615,,,,,,
,6,24,5.6,15461.53846,,,,,,
,7,1,4.9,16269.23077,,,,,,
,7,2,4,17307.69231,,,,,,
,7,3,3.2,18230.76923,,,,,,
,7,4,2.7,18807.69231,,,,,,
,7,5,2.3,19269.23077,,,,,,
,7,6,1.8,19846.15385,,,,,,
,7,7,1.5,20192.30769,,,,,,
,7,8,1.2,20538.46154,,,,,,
,7,9,1.2,20538.46154,,,,,,
,7,10,2.8,18692.30769,,,,,,
,7,11,4.8,16384.61538,,,,,,
,7,12,6.8,14076.92308,,,,,,
,7,13,8.4,12230.76923,,,,,,
,7,14,9.4,11076.92308,,,,,,
,7,15,9.7,10730.76923,,,,,,
,7,16,9.4,11076.92308,,,,,,
,7,17,8.2,12461.53846,,,,,,
,7,18,6.8,14076.92308,,,,,,
,7,19,6.3,14653.84615,,,,,,
,7,20,5.9,15115.38462,,,,,,
,7,21,5.4,15692.30769,,,,,,
,7,22,5,16153.84615,,,,,,
,7,23,4.6,16615.38462,,,,,,
,7,24,4.1,17192.30769,,,,,,
,8,1,3.9,17423.07692,,,,,,
,8,2,3.7,17653.84615,,,,,,
,8,3,3.6,17769.23077,,,,,,
,8,4,3.5,17884.61538,,,,,,
,8,5,3.4,18000,,,,,,
,8,6,3.3,18115.38462,,,,,,
,8,7,3.2,18230.76923,,,,,,
,8,8,3.1,18346.15385,,,,,,
,8,9,3.2,18230.76923,,,,,,
,8,10,5.3,15807.69231,,,,,,
,8,11,6.3,14653.84615,,,,,,
,8,12,7.3,13500,,,,,,
,8,13,7.7,13038.46154,,,,,,
,8,14,7.7,13038.46154,,,,,,
,8,15,8.3,12346.15385,,,,,,
,8,16,7.9,12807.69231,,,,,,
,8,17,7.1,13730.76923,,,,,,
,8,18,6.3,14653.84615,,,,,,
,8,19,6.2,14769.23077,,,,,,
,8,20,5.9,15115.38462,,,,,,
,8,21,5.8,15230.76923,,,,,,
,8,22,5.7,15346.15385,,,,,,
,8,23,5.5,15576.92308,,,,,,
,8,24,5.3,15807.69231,,,,,,
,9,1,5.2,15923.07692,,,,,,
,9,2,4.9,16269.23077,,,,,,
,9,3,4.7,16500,,,,,,
,9,4,4.6,16615.38462,,,,,,
,9,5,4.4,16846.15385,,,,,,
,9,6,4.3,16961.53846,,,,,,
,9,7,4.2,17076.92308,,,,,,
,9,8,4.1,17192.30769,,,,,,
,9,9,4.1,17192.30769,,,,,,
,9,10,4.4,16846.15385,,,,,,
,9,11,4.8,16384.61538,,,,,,
,9,12,5.2,15923.07692,,,,,,
,9,13,5.5,15576.92308,,,,,,
,9,14,5.8,15230.76923,,,,,,
,9,15,5.9,15115.38462,,,,,,
,9,16,5.8,15230.76923,,,,,,
,9,17,5.5,15576.92308,,,,,,
,9,18,5.2,15923.07692,,,,,,
,9,19,5.4,15692.30769,,,,,,
,9,20,5.5,15576.92308,,,,,,
,9,21,6,15000,,,,,,
,9,22,6.3,14653.84615,,,,,,
,9,23,6.6,14307.69231,,,,,,
,9,24,6.9,13961.53846,,,,,,
,10,1,7,13846.15385,,,,,,
,10,2,6.9,13961.53846,,,,,,
,10,3,7.3,13500,,,,,,
,10,4,7.5,13269.23077,,,,,,
,10,5,7.6,13153.84615,,,,,,
,10,6,7.7,13038.46154,,,,,,
,10,7,7.7,13038.46154,,,,,,
,10,8,7.8,12923.07692,,,,,,
,10,9,7.9,12807.69231,,,,,,
,10,10,8.3,12346.15385,,,,,,
,10,11,8.7,11884.61538,,,,,,
,10,12,9.1,11423.07692,,,,,,
,10,13,9.5,10961.53846,,,,,,
,10,14,9.7,10730.76923,,,,,,
,10,15,9.8,10615.38462,,,,,,
,10,16,9.8,10615.38462,,,,,,
,10,17,9.6,10846.15385,,,,,,
,10,18,9.4,11076.92308,,,,,,
,10,19,9.3,11192.30769,,,,,,
,10,20,9.3,11192.30769,,,,,,
,10,21,9.2,11307.69231,,,,,,
,10,22,9,11538.46154,,,,,,
,10,23,9.1,11423.07692,,,,,,
,10,24,9,11538.46154,,,,,,
,11,1,8.8,11769.23077,,,,,,
,11,2,8.6,12000,,,,,,
,11,3,8.4,12230.76923,,,,,,
,11,4,8.2,12461.53846,,,,,,
,11,5,8.1,12576.92308,,,,,,
,11,6,8,12692.30769,,,,,,
,11,7,7.8,12923.07692,,,,,,
,11,8,7.8,12923.07692,,,,,,
,11,9,7.8,12923.07692,,,,,,
,11,10,7.8,12923.07692,,,,,,
,11,11,8.3,12346.15385,,,,,,
,11,12,8.6,12000,,,,,,
,11,13,8.8,11769.23077,,,,,,
,11,14,8.9,11653.84615,,,,,,
,11,15,8.9,11653.84615,,,,,,
,11,16,8.9,11653.84615,,,,,,
,11,17,8.7,11884.61538,,,,,,
,11,18,8.5,12115.38462,,,,,,
,11,19,8.3,12346.15385,,,,,,
,11,20,8,12692.30769,,,,,,
,11,21,7.8,12923.07692,,,,,,
,11,22,7.6,13153.84615,,,,,,
,11,23,7.3,13500,,,,,,
,11,24,7.1,13730.76923,,,,,,
,12,1,6.3,14653.84615,,,,,,
,12,2,5.4,15692.30769,,,,,,
,12,3,4.5,16730.76923,,,,,,
,12,4,4.1,17192.30769,,,,,,
,12,5,3.6,17769.23077,,,,,,
,12,6,3.1,18346.15385,,,,,,
,12,7,2.8,18692.30769,,,,,,
,12,8,2.5,19038.46154,,,,,,
,12,9,2.4,19153.84615,,,,,,
,12,10,3.9,17423.07692,,,,,,
,12,11,5.8,15230.76923,,,,,,
,12,12,7.6,13153.84615,,,,,,
,12,13,9,11538.46154,,,,,,
,12,14,9.9,10500,,,,,,
,12,15,10.2,10153.84615,,,,,,
,12,16,9.9,10500,,,,,,
,12,17,8.8,11769.23077,,,,,,
,12,18,7.5,13269.23077,,,,,,
,12,19,7.1,13730.76923,,,,,,
,12,20,6.7,14192.30769,,,,,,
,12,21,6.3,14653.84615,,,,,,
,12,22,5.9,15115.38462,,,,,,
,12,23,5.5,15576.92308,,,,,,
,12,24,5.2,15923.07692,,,,,,
,13,1,5.1,16038.46154,,,,,,
,13,2,5,16153.84615,,,,,,
,13,3,5,16153.84615,,,,,,
,13,4,5,16153.84615,,,,,,
,13,5,5,16153.84615,,,,,,
,13,6,5,16153.84615,,,,,,
,13,7,5,16153.84615,,,,,,
,13,8,5.1,16038.46154,,,,,,
,13,9,5.2,15923.07692,,,,,,
,13,10,7.2,13615.38462,,,,,,
,13,11,9.9,10500,,,,,,
,13,12,12.5,7500,,,,,,
,13,13,14.3,5423.076923,,,,,,
,13,14,14.8,4846.153846,,,,,,
,13,15,15.1,4500,,,,,,
,13,16,14.7,4961.538462,,,,,,
,13,17,13.6,6230.769231,,,,,,
,13,18,12.2,7846.153846,,,,,,
,13,19,11.9,8192.307692,,,,,,
,13,20,11.5,8653.846154,,,,,,
,13,21,11.2,9000,,,,,,
,13,22,10.8,9461.538462,,,,,,
,13,23,10.5,9807.692308,,,,,,
,13,24,10.1,10269.23077,,,,,,
,14,1,9.6,10846.15385,,,,,,
,14,2,8.9,11653.84615,,,,,,
,14,3,8.3,12346.15385,,,,,,
,14,4,7.9,12807.69231,,,,,,
,14,5,7.6,13153.84615,,,,,,
,14,6,7.2,13615.38462,,,,,,
,14,7,7,13846.15385,,,,,,
,14,8,6.7,14192.30769,,,,,,
,14,9,6.7,14192.30769,,,,,,
,14,10,7.3,13500,,,,,,
,14,11,7.9,12807.69231,,,,,,
,14,12,8.7,11884.61538,,,,,,
,14,13,9.1,11423.07692,,,,,,
,14,14,9.3,11192.30769,,,,,,
,14,15,9.2,11307.69231,,,,,,
,14,16,8.6,12000,,,,,,
,14,17,8.1,12576.92308,,,,,,
,14,18,7.6,13153.84615,,,,,,
