Jour ,Heure  ,Puissance appelée horaire (W),Puissance appelée horaire (kW),Puissance maximale (kW),Plage de puissance N°,Plage de puissance (kW),Nbre d'heures,Pourcentage,,Plage n°,Plage n°1,Plage n°2,Plage n°3,Plage n°4,Plage n°5,Plage n°6,Plage n°7,Plage n°8,Plage n°9,Plage n°10,Plage n°11,Plage n°12,Plage n°13,Plage n°14,Plage n°15,Plage n°16,Plage n°17,Plage n°18,Plage n°19,Plage n°20,,,,,,,,,,,,,Rappel puissance maximale appelée (kW),29.2,,Consommation les 10 jours de janvier,Besoins totaux (kWh),Besoins générateur de base (kWh),,Puissance,Part base,86%,,,,,,Affichage de la puissance du générateur de base sur la monotone,,
,,somme des puissance appelées dans chaque zone,somme des puissance appelées dans chaque zone,Maximum puissances consommées,,,Nbre d'heures à puis consommée est supérieure à la puissance,,,Puis max (kW),1.46,2.92,4.38,5.84,7.30,8.76,10.22,11.68,13.14,14.60,16.06,17.52,18.98,20.43,21.89,23.35,24.81,26.27,27.73,29.19,,,,,,,,,,,,,Puissance générateur de base (kW),25.0,,4337.769231,60465.12,60248.23,,Besoins,Part base,99.6%,,,,,,Nbre d'heures,0,272
1,1,26538.46154,27,29.2,0,0.0,4326,100%,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,Puissance générateur de base min (kW),20.0,,Consommation les 5 jours de janvier,,25,,,Part appoint,0%,,,,,,Puissance,25.0,25.0
1,2,26653.84615,27,,1,1.5,4326,100%,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,1871.884615,,25,,,,,,,,,,Nbre d'heures,0,1147
1,3,26884.61538,27,,2,2.9,4301,99%,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,25,,,,,,,,,,Puissance,20.0,20.0
1,4,27115.38462,27,,3,4.4,4243,98%,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,
1,5,27230.76923,27,,4,5.8,4148,96%,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,
1,6,27346.15385,27,,5,7.3,3991,92%,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,
1,7,27346.15385,27,,6,8.8,3754,87%,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,
1,8,27461.53846,27,,7,10.2,3476,80%,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,
1,9,27461.53846,27,,8,11.7,3162,73%,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,
