Rendement,,,,,,,,Section,Pertes KW/ml,,Villes_Monotone,T ext base
100%,,1,,1,,Logements,,25,0.007,,Bourges,-7
99%,,2,,2,,"Bâtiments à usage principal de bureau, d'administration ou d'enseignement",,32,0.009,,Chartres,-7
98%,,3,,3,,"Bâtiments à occupation continue (hôpitaux, hôtel, internats, maisons de retraite …)",,40,0.01,,Chateauroux,-7
97%,,4,,4,,"Autres bâtiments (théatres, salles de sport, restauration, commerces individuels …",,50,0.012,,Gueret,-8
96%,,5,,,,,,63,0.017,,Limoges,-8
95%,,6,,,,,,75,0.02,,Nevers,-10
94%,,7,,,,,,90,0.026,,Orleans,-7
93%,,8,,,,,,110,0.035,,Paris,-7
92%,,9,,,,,,,,,Poitiers,-7
91%,,10,,,,,,,,,Tours,-7
90%,,11,,,,,,,,,Vichy,-8
89%,,12,,,,,,,,,,
88%,,13,,,,,,,,,,
87%,,14,,,,,,,,,,
86%,,15,,,,,,,,,,
85%,,16,,,,,,,,,,
84%,,17,,,,,,,,,,
83%,,18,,,,,,,,,,
82%,,19,,,,,,,,,,
81%,,20,,,,,,,,,,
80%,,21,,,,,,,,,,
79%,,22,,,,,,,,,,
78%,,23,,,,,,,,,,
77%,,24,,,,,,,,,,
76%,,,,,,,,,,,,
75%,,,,,,,,,,,,
74%,,,,,,,,,,,,
73%,,,,,,,,,,,,
72%,,,,,,,,,,,,
71%,,,,,,,,,,,,
70%,,,,,,,,,,,,
69%,,,,,,,,,,,,
68%,,,,,,,,,,,,
67%,,,,,,,,,,,,
66%,,,,,,,,,,,,
65%,,,,,,,,,,,,
64%,,,,,,,,,,,,
63%,,,,,,,,,,,,
62%,,,,,,,,,,,,
61%,,,,,,,,,,,,
60%,,,,,,,,,,,,
59%,,,,,,,,,,,,
58%,,,,,,,,,,,,
57%,,,,,,,,,,,,
56%,,,,,,,,,,,,
55%,,,,,,,,,,,,
54%,,,,,,,,,,,,
53%,,,,,,,,,,,,
52%,,,,,,,,,,,,
51%,,,,,,,,,,,,
50%,,,,,,,,,,,,
49%,,,,,,,,,,,,
48%,,,,,,,,,,,,
47%,,,,,,,,,,,,
46%,,,,,,,,,,,,
45%,,,,,,,,,,,,
44%,,,,,,,,,,,,
43%,,,,,,,,,,,,
42%,,,,,,,,,,,,
41%,,,,,,,,,,,,
40%,,,,,,,,,,,,
39%,,,,,,,,,,,,
38%,,,,,,,,,,,,
37%,,,,,,,,,,,,
36%,,,,,,,,,,,,
35%,,,,,,,,,,,,
34%,,,,,,,,,,,,
33%,,,,,,,,,,,,
32%,,,,,,,,,,,,
31%,,,,,,,,,,,,
30%,,,,,,,,,,,,
29%,,,,,,,,,,,,
28%,,,,,,,,,,,,
27%,,,,,,,,,,,,
26%,,,,,,,,,,,,
25%,,,,,,,,,,,,
24%,,,,,,,,,,,,
23%,,,,,,,,,,,,
22%,,,,,,,,,,,,
21%,,,,,,,,,,,,
20%,,,,,,,,,,,,
19%,,,,,,,,,,,,
18%,,,,,,,,,,,,
17%,,,,,,,,,,,,
16%,,,,,,,,,,,,
15%,,,,,,,,,,,,
14%,,,,,,,,,,,,
13%,,,,,,,,,,,,
12%,,,,,,,,,,,,
11%,,,,,,,,,,,,
10%,,,,,,,,,,,,
9%,,,,,,,,,,,,
8%,,,,,,,,,,,,
7%,,,,,,,,,,,,
6%,,,,,,,,,,,,
5%,,,,,,,,,,,,
4%,,,,,,,,,,,,
3%,,,,,,,,,,,,
2%,,,,,,,,,,,,
1%,,,,,,,,,,,,
