Désignation,U,Qte,"Prix unitaire
€","Prix total
€",
Synthèse des couts d'investissement de la solution biomasse,,,,,
Travaux d'isolation : (pour information non compris dans le total),,,,,
Travaux d'isolation des bâtiments,,,, -   € ,
,,,Sous total, -   € ,
,,,Déjà réalisé:, -   € ,
,,,Reste à réaliser, -   € ,
Travaux chaufferie,,,,,
VRD - Aménagements extérieur,Ens,1,, -   € ,
Gros œuvre,Ens,1,, -   € ,
Charpente-couverture,Ens,1,, -   € ,
Process bois (chaudière + dessileur+fosse dépotage..),Ens,1,, -   € ,
Chaudière appoint,U,,, -   € ,
Hydraulique chaufferie,Ens,1,, -   € ,
Réseau de chaleur,ml,0,, -   € ,
Sous-station,U,,, -   € ,
Installation réseau hydraulique dans bât existants,U,0,0, -   € ,
Autre travaux de chauffage,Ens,1,, -   € ,
,,,Sous total, -   € ,
TOTAL DES TRAVAUX DE LA SOLUTION BIOMASSE,,,, -   € ,
TOTAL DES TRAVAUX DE LA SOLUTION BIOMASSE SANS ISOLATION,,,, -   € ,
Frais annexes sur travaux chaufferie,,,,,
"Bureau de contrôle,SPS …",%,3%, -   € , -   € ,
Maîtrise d'œuvre,%,9%, -   € , -   € ,
Frais divers de consultation,%,2%, -   € , -   € ,
Aléas de chantier,%,5%, -   € , -   € ,
TOTAL DES FRAIS ANEXES,,,, -   € ,
TOTAL DES INVESTISSEMENTS DE LA SOLUTION BIOMASSE,,,, -   € ,
TVA,,,, -   € ,
TOTAL TTC,,,, -   € ,
