Désignation,U,Qte,"Prix unitaire
€","Prix total
€",déjà réalisé,
Installation / remplacement de chaudière,U,,,,,
Installation réseau hydraulique,U,,,,,
Autre travaux de chauffage,U,,,,,
Synthèse des couts d'investissement de la solution de référence,,,,,,
Travaux d'isolation : (pour information non compris dans le total),,,,,,
Bâtiment 2,,,," 500,000.00 € ",500000,
,,,Sous total," 500,000.00 € ",,
,,,Déjà réalisé:," 500,000.00 € ",,
,,,Reste à réaliser, -   € ,,
Travaux chaufferie,,,,,,
Installation / remplacement de chaudière,U,0,0, -   € ,,
Installation réseau hydraulique,U,0,0, -   € ,,
Autre travaux de chauffage,U,0,0, -   € ,,
,,,Sous total, -   € ,,
TOTAL DES TRAVAUX DE LA SOLUTION DE REFERENCE ,,,, -   € ,,
TOTAL DES TRAVAUX DE LA SOLUTION DE REFERENCE SANS ISOLATION,,,, -   € ,,
Frais annexes sur travaux chaufferie,,,,,,
"Bureau de contrôle,SPS …",%,0%, -   € , -   € ,,
Maîtrise d'œuvre,%,13%, -   € , -   € ,,
Frais divers de consultation,%,2%, -   € , -   € ,,
Aléas de chantier,%,5%, -   € , -   € ,,
TOTAL DES FRAIS ANEXES,,,, -   € ,,
TOTAL DES INVESTISSEMENTS DE LA SOLUTION DE REFERENCE,,,, -   € ,,
TVA,,,, -   € ,,
TOTAL TTC,,,, -   € ,,
